MoleculeIndex,AtomIndexLow,AtomIndexHigh,DihedralScore
0,0,3,0.0727297
0,3,6,0.0213518
0,4,6,0.0570827
0,6,8,0.0213518
0,5,10,0.00345785
0,8,10,0.0213518
0,9,12,-0.0238599
0,10,12,0.0213518
0,3,14,0.0213518
0,12,14,0.0213518
0,0,16,0.215523
0,16,17,-0.00952969
0,17,18,0.0204922
0,4,19,0.059842
0,7,20,0.0137629
0,19,20,0.0606554
0,7,21,-0.0230995
0,7,22,-0.0230995
0,5,23,-0.00947446
0,9,24,-0.0175849
0,11,24,0
0,13,24,0
0,11,25,0
0,25,26,0
0,13,27,0
0,26,27,0
0,27,28,0.0124182
0,15,29,0.0248981
0,28,29,0.0248981
0,15,30,0.0248981
0,30,31,0.0248981
0,31,32,0.0248981
0,32,33,0.0248981
0,33,34,0.0248981
0,28,35,0.0248981
0,30,35,0.0248981
0,34,35,0.0248981
0,15,36,0.0141198
0,4,37,0.000871733
