MoleculeIndex,AtomIndexLow,AtomIndexHigh,DihedralScore
0,0,2,0.0121596
0,2,5,0.0213518
0,3,5,0.0552829
0,5,7,0.0213518
0,4,9,0.114496
0,7,9,0.0213518
0,8,11,-0.015721
0,9,11,0.0213518
0,2,13,0.0213518
0,11,13,0.0213518
0,0,15,0.000403629
0,15,16,-0.0305459
0,16,17,0.0204922
0,3,18,0.0316782
0,6,19,0.0893649
0,18,19,0.0635482
0,6,20,0.0312304
0,6,21,-0.0230995
0,4,22,0.00817824
0,8,23,-0.0175849
0,10,23,0
0,12,23,0
0,10,24,0
0,24,25,0
0,12,26,0
0,25,26,0
0,26,27,0.0124182
0,14,28,0.0248981
0,27,28,0.0248981
0,14,29,0.0248981
0,29,30,0.0248981
0,30,31,0.0248981
0,31,32,0.0248981
0,32,33,0.0248981
0,27,34,0.0248981
0,29,34,0.0248981
0,33,34,0.0248981
0,14,35,0.0141198
0,3,36,0.0141121
