name	r1	r2	MeO	WT		L/V		delta		clogp	t1/2	CL	Pe	WT		L/V		delta
(+)JQ1	H	OtBu	—	6.6 ± 0.1	6.5 ± 0.1	−0.1 ± 0.1	4.8	>180	7.5				
(−)JQ1	H	OtBu	—	4.8 ± 0.2	4.6 ± 0.1	−0.2 ± 0.2	4.8						
IBET762	H	NHEt	8	6.5 ± 0.2	6.5 ± 0.3	0.0 ± 0.3	2.8	>180	1.3	25			
1	H	OMe	8	6.6 ± 0.2	6.6 ± 0.3	0.0 ± 0.2	3.3	54	<0.5	149	6.8		6.5		−0.3
2	H	OMe	9	5.8 ± 0.2	5.9 ± 0.2	0.1 ± 0.1	3.3	67	1.7				
3	Methyl	OMe	8	6.2 ± 0.3	7.4 ± 0.1	1.2 ± 0.2	3.5	>180	0.7	185			
4	Ethyl	OMe	8	5.0 ± 0.1	6.8 ± 0.2	1.7 ± 0.2	3.9	>180	1.5	153	5.1 ± 0.5	6.9 ± 0.3	1.8 ± 0.4
5	Allyl	OMe	8	5.1 ± 0.1	6.6 ± 0.3	1.5 ± 0.3	3.9	>180	6.7	127	5.1 ± 0.4	6.6 ± 0.2	1.5 ± 0.5
6	Propyl	OMe	8	4.5 ± 0.2	5.0 ± 0.1	0.6 ± 0.2	4.3	>180	5.2				
7	Methyl	OMe	9	5.4 ± 0.2	6.8 ± 0.2	1.4 ± 0.2	3.5	>180	<0.5	158	4.5 ± 0.2	6.6 ± 0.3	2.0 ± 0.4
8	Ethyl	OMe	9	5.5 ± 0.2	6.8 ± 0.2	1.4 ± 0.2	3.9	>180	4.1	155	<4.2		6.4 ± 0.2	>2.2 ± 0.2
9	Allyl	OMe	9	4.4 ± 0.1	5.7 ± 0.2	1.3 ± 0.2	3.9	>180	9.4	136			
16	Methyl	NHEt	8	5.3 ± 0.2	6.7 ± 0.2	1.4 ± 0.2	3.1	>180	1.2	26	5.6 ± 0.3	6.9 ± 0.2	1.3 ± 0.3
17	Ethyl	NHEt	8	4.4 ± 0.1	5.9 ± 0.3	1.5 ± 0.2	3.5	>180	1.4	45	<4.2		6.0 ± 0.2	>1.8 ± 0.2
18	Allyl	NHEt	8	4.3 ± 0.1	5.9 ± 0.2	1.5 ± 0.1	3.5	>180	2.6	52			
19	Methyl	N[Et]2	8	4.9 ± 0.2	6.1 ± 0.2	1.2 ± 0.2	3.8	>180	>50				
20	Ethyl	N[Et]2	8	4.6 ± 0.1	5.8 ± 0.2	1.2 ± 0.2	4.1	>180	>50				
21	Methyl	NHEt	9	4.7 ± 0.3	6.0 ± 0.2	1.3 ± 0.2	3.1	>180	1.5	40	4.5 ± 0.4	6.3 ± 0.2	1.8 ± 0.5
22	Ethyl	NHEt	9	<4.0		5.2 ± 0.2	>1.2		3.5	>180	2.1	59			
23	Ethyl	OtBu	8	5.3 ± 0.1	6.0 ± 0.2	0.7 ± 0.1	4.8	>180	30.7				
24	Allyl	OtBu	8	5.3 ± 0.1	6.2 ± 0.2	0.9 ± 0.2	4.9	>180	39.1				
25	Ethyl	OtBu	9	4.6 ± 0.1	5.0 ± 0.2	0.4 ± 0.2	4.8	>180	31.0				
26	Allyl	OtBu	9	5.2 ± 0.2	5.8 ± 0.2	0.5 ± 0.1	4.9	>180	39.4				
